HouseAge,Bedroom,FullBath,LotArea,Location,SalePrice
2005,2,2,3182,Urban,160200
1976,3,1,11333,Urban,146800
1996,3,2,9920,Urban,269790
2007,3,2,9158,SubUrban,225000
1994,3,2,10832,Urban,194500
1980,3,2,8400,SubUrban,171000
1977,3,1,8197,Urban,143500
1953,2,1,7677,SubUrban,110000
2008,4,3,13518,Urban,485000
1937,3,1,7200,SubUrban,175000
1997,4,2,12798,Urban,200000
1916,2,1,4800,SubUrban,109900
2005,3,2,8199,Urban,189000
2008,4,3,13891,SubUrban,582933
1954,2,1,9000,Urban,118000
2008,3,2,12274,SubUrban,227680
1967,3,2,9750,Urban,135500
1923,3,1,21384,SubUrban,223500
1966,3,1,13400,Urban,159950
1898,2,2,8100,SubUrban,106000
1974,3,1,10140,Urban,181000
2004,1,1,4438,SubUrban,144500
1952,2,1,8712,Urban,55993
1958,4,1,9750,SubUrban,157900
1918,3,1,8248,Urban,116000
1998,3,2,12137,SubUrban,224900
1954,2,1,11425,Urban,137000
2002,3,2,13265,SubUrban,271000
1971,3,1,8816,Urban,155000
2009,2,2,6371,SubUrban,224000
2003,3,2,7226,Urban,183000
1953,2,1,6000,SubUrban,93000
2003,3,2,12394,Urban,225000
1940,3,2,9900,SubUrban,139500
2006,3,2,11216,Urban,232600
2007,2,2,14803,SubUrban,385000
1924,2,1,6130,Urban,109500
2001,3,2,8529,Rural,189000
1967,3,2,28698,Rural,185000
2005,2,2,2544,Rural,147400
1957,3,1,11900,Rural,166000
2005,2,2,3180,Rural,151000
2003,3,2,9548,Rural,237000
1964,3,1,10004,Rural,167000
1961,3,1,7875,Urban,139950
1950,2,2,9600,SubUrban,128000
1948,2,1,8100,Urban,153500
1973,2,1,1680,SubUrban,100000
1995,3,1,9525,Urban,144000
1946,3,1,11767,SubUrban,130500
1925,4,2,12155,Urban,140000
1904,3,2,10440,SubUrban,157500
1966,3,1,9020,Urban,174900
1961,6,2,8000,SubUrban,141000
1915,4,1,12665,Urban,153900
1975,3,2,16647,SubUrban,171000
1993,3,2,9317,Urban,213000
1972,3,1,15523,SubUrban,133500
1908,5,3,45600,Urban,240000
1976,3,2,9600,SubUrban,187000
2003,1,1,4435,Urban,131500
2003,2,2,3196,SubUrban,215000
1941,4,2,7128,Urban,164000
1964,3,1,12095,SubUrban,158000
1955,3,1,17920,Urban,170000
1962,3,1,6897,SubUrban,127000
1978,3,1,10970,Urban,147000
1994,3,2,8125,SubUrban,174000
1976,3,2,10400,Urban,152000
1968,4,2,11029,SubUrban,250000
1918,3,1,7642,Urban,189950
1965,3,1,11625,SubUrban,131500
1984,3,2,9672,Urban,152000
1959,3,1,7931,SubUrban,132500
2007,3,2,8640,Urban,250580
1970,3,1,8750,SubUrban,148500
2006,3,2,10656,Urban,248900
1961,3,1,6970,SubUrban,129000
1948,2,2,14762,Urban,169000
1993,3,2,9938,SubUrban,236000
1962,2,1,6600,Urban,109500
1998,3,2,8750,SubUrban,200500
1953,3,1,8892,Urban,116000
1949,3,1,12144,SubUrban,133000
1941,3,1,5720,Urban,66500
2007,4,2,9000,SubUrban,303477
1963,3,1,25286,Urban,132250
2004,4,2,8834,SubUrban,350000
1961,3,1,11782,Urban,148000
1978,3,1,7000,SubUrban,136500
2005,2,1,7024,Urban,157000
1990,3,2,13758,SubUrban,187500
1992,3,2,9636,Urban,178000
1912,5,1,6204,SubUrban,118500
1967,3,1,7150,Urban,100000
1999,2,2,5119,SubUrban,328900
1959,4,2,8393,Urban,145000
1955,3,1,16466,SubUrban,135500
1970,4,2,15865,Urban,268000
1953,2,1,12160,SubUrban,149500
1949,3,1,8064,Urban,122900
1978,3,2,11184,SubUrban,172500
1963,3,1,8414,Urban,154500
1954,3,1,13284,SubUrban,165000
1979,4,2,7018,Urban,118858
1963,4,1,7056,SubUrban,140000
1936,2,1,8765,Urban,106500
1979,6,2,7018,SubUrban,142953
2009,2,2,12919,Urban,611657
1961,3,1,6993,Rural,135000
1971,2,1,7340,Rural,110000
1957,2,1,8712,Rural,153000
2003,3,2,7875,Rural,180000
2006,3,2,14859,Rural,240000
1967,3,1,6173,Rural,125500
1954,3,1,9920,Rural,128000
2006,3,2,13501,Urban,255000
1936,3,1,11500,SubUrban,250000
1983,2,1,8885,Urban,131000
2005,3,2,12589,SubUrban,174000
1960,5,2,11600,Urban,154300
1977,3,1,9286,SubUrban,143500
1925,3,1,6120,Urban,88000
1949,4,2,6270,SubUrban,145000
2009,2,2,3000,Urban,173733
1970,3,1,2001,SubUrban,75000
1949,1,0,9000,Urban,35311
1956,3,1,17140,SubUrban,135000
1991,4,2,13125,Urban,238000
1958,3,1,11029,SubUrban,176500
1994,3,2,8462,Urban,201000
1900,4,2,8777,SubUrban,145900
2005,3,2,10237,Urban,169990
1993,2,2,8012,Rural,193000
1980,3,2,10240,Rural,207500
1977,3,2,15611,Rural,175000
2003,4,2,11999,Rural,285000
1968,4,2,9900,Rural,176000
2001,3,2,11838,Rural,236500
1997,4,2,13006,Rural,222000
2007,3,2,8925,Urban,201000
1965,2,1,9100,SubUrban,117500
2006,3,2,11670,Urban,320000
2004,3,2,8487,SubUrban,190000
1960,4,2,27650,Urban,242000
1926,1,1,5825,SubUrban,79900
2003,2,2,10083,Urban,184900
2005,3,2,9675,SubUrban,253000
2006,3,2,8760,Urban,239799
1940,4,2,24090,SubUrban,244400
1976,4,2,12640,Urban,150900
1999,3,2,8755,SubUrban,214000
1977,4,2,7711,Urban,150000
1967,4,2,25000,SubUrban,143000
1958,3,1,14375,Rural,137500
1890,2,1,8820,Rural,124900
1959,3,1,8163,Rural,143000
2002,3,2,14536,Rural,270000
2002,3,2,14006,Rural,192500
1972,3,1,9360,Rural,197500
1950,3,1,7200,Rural,129000
1965,3,1,7800,SubUrban,119900
1972,2,1,7200,Urban,133900
1969,4,2,11075,SubUrban,172000
1975,4,2,9400,Urban,127500
1946,4,2,7136,SubUrban,145000
1980,2,1,1300,Urban,124000
1962,3,1,7420,SubUrban,132000
2003,3,2,8450,Urban,185000
1999,3,2,2572,SubUrban,155000
1958,2,1,7207,Urban,116500
1977,4,2,12227,SubUrban,272000
1976,3,2,2308,Urban,155000
2007,2,2,11923,SubUrban,239000
2002,4,2,11316,Urban,214900
2005,3,2,10237,SubUrban,178900
1940,2,1,9600,Urban,160000
1955,3,1,7390,SubUrban,135000
1910,2,1,5925,Urban,37900
1958,2,1,10382,SubUrban,140000
1949,4,1,10800,Urban,135000
2003,2,2,2268,SubUrban,173000
1979,2,2,7892,Urban,99500
2007,3,2,11639,SubUrban,182000
1910,3,1,11414,Urban,167500
2000,3,2,2651,SubUrban,165000
1923,2,1,5900,Urban,85500
2006,1,1,4274,SubUrban,199900
1954,3,1,9450,Urban,110000
1963,3,1,8816,SubUrban,139000
1961,3,1,12122,Urban,178400
1998,4,2,12203,SubUrban,336000
2007,2,2,3182,Urban,159895
2002,4,2,11250,SubUrban,255900
1977,4,2,10125,Urban,126000
1950,3,1,10880,SubUrban,125000
1910,2,1,5310,Urban,117000
2009,3,2,10159,SubUrban,395192
1976,4,2,12046,Urban,195000
2006,3,2,8125,SubUrban,197000
1997,3,2,9452,Urban,348000
1882,4,1,17671,SubUrban,168000
1964,3,2,9760,Urban,187000
2005,3,2,8846,SubUrban,173900
2006,3,2,12456,Urban,337500
1946,3,1,4712,SubUrban,121600
1961,3,1,10659,Urban,136500
1970,2,2,11717,SubUrban,185000
1922,3,1,9786,Urban,91000
2006,2,2,6762,SubUrban,206000
1952,2,1,10206,Urban,82000
1920,2,1,5400,SubUrban,86000
2006,3,2,11957,Urban,232000
1976,4,2,11500,SubUrban,136905
2005,1,2,3182,Urban,181000
1977,3,2,8385,SubUrban,149900
1970,3,2,12155,Urban,163500
1970,3,1,2217,SubUrban,88000
2004,3,2,12118,Urban,240000
1926,4,2,6000,SubUrban,102000
1948,4,2,21286,Urban,135000
1965,4,2,9825,SubUrban,100000
1923,3,1,10592,Urban,165000
1910,2,1,7200,SubUrban,85000
1948,2,1,11664,Urban,119200
2001,3,2,8400,SubUrban,227000
1996,3,2,11883,Urban,203000
1984,1,1,5814,SubUrban,187500
1991,3,2,10784,Urban,160000
2005,2,2,3013,SubUrban,213490
2005,2,1,7024,Urban,176000
2006,2,2,7406,SubUrban,194000
1930,2,1,9439,Urban,87000
2005,2,2,3182,SubUrban,191000
1976,2,2,15498,Urban,287000
1972,3,1,7700,SubUrban,112500
1960,3,1,9300,Urban,167500
2007,3,2,9520,SubUrban,293077
1941,3,1,9492,Urban,105000
1972,3,1,1680,SubUrban,118000
1916,5,2,7082,Urban,160000
1920,5,2,15863,SubUrban,197000
1993,5,2,14541,Urban,310000
2002,3,2,8125,SubUrban,230000
1938,2,1,6305,Urban,119750
1957,3,1,11500,SubUrban,84000
2007,2,2,12898,Urban,315500
2001,3,2,9240,SubUrban,287000
1970,3,1,1533,Urban,97000
1970,1,1,1477,SubUrban,80000
1957,3,2,13125,Urban,155000
1966,4,1,9130,SubUrban,173000
2005,1,2,5381,Urban,196000
1990,4,2,11839,SubUrban,262280
1981,4,2,9600,Urban,278000
1955,4,2,13680,SubUrban,139600
2005,4,3,16056,Urban,556581
1994,3,1,9245,SubUrban,145000
1960,3,1,21750,Urban,115000
1946,2,1,11100,SubUrban,84900
2007,3,2,8993,Urban,176485
2007,3,2,11175,SubUrban,200141
1964,4,1,9500,Urban,165000
1957,4,1,8562,SubUrban,144500
2002,3,2,11367,Urban,255000
1976,3,2,11361,SubUrban,180000
2005,2,2,7052,Urban,185850
1994,3,2,29959,SubUrban,248000
2008,3,2,11308,Urban,335000
1932,3,1,11275,SubUrban,220000
2001,2,2,4920,Urban,213500
1935,2,1,18000,SubUrban,81000
1900,5,2,13600,Urban,90000
1925,2,1,6000,SubUrban,110500
1966,3,1,11000,Urban,154000
1996,3,2,14000,SubUrban,328000
1993,3,2,7837,Urban,178000
1964,4,1,9760,SubUrban,167900
1973,5,2,3964,Urban,151400
1949,2,1,9600,SubUrban,135000
1956,3,1,10152,Urban,135000
1968,4,1,11700,SubUrban,154000
1948,4,1,7585,Urban,91500
1977,3,1,7950,SubUrban,159500
2006,2,2,8556,Urban,194000
1940,3,1,13125,SubUrban,219500
1936,3,2,10800,Urban,170000
1969,3,1,15870,SubUrban,138800
2004,1,1,4435,Urban,155900
1994,3,1,8775,SubUrban,126000
1971,3,2,11040,Urban,145000
1963,3,1,7500,SubUrban,133000
2002,3,2,8749,Urban,192000
1964,3,1,8800,SubUrban,160000
1995,3,2,13031,Urban,187500
1992,2,1,9069,SubUrban,147000
1973,3,1,1974,Urban,83500
2005,3,2,10574,SubUrban,252000
2004,3,2,2522,Urban,137500
2005,1,1,3316,SubUrban,197000
1950,2,2,8544,Urban,92900
1999,2,2,2160,SubUrban,160000
1925,4,2,8400,Urban,136500
1965,1,1,9230,SubUrban,146000
1956,2,1,5868,Urban,129000
2006,3,2,9317,SubUrban,176432
1914,3,1,6882,Urban,127000
1986,2,1,3696,SubUrban,170000
1936,3,1,6000,Urban,128000
1978,3,2,11880,SubUrban,157000
1920,1,1,8400,Urban,60000
1971,3,1,9758,SubUrban,119500
1960,2,1,7000,Urban,135000
1959,3,1,8910,SubUrban,159500
1970,3,2,2016,Urban,106000
1994,3,2,12256,SubUrban,325000
1990,3,2,10357,Urban,179900
2006,3,2,23257,SubUrban,274725
2000,3,2,8063,Urban,181000
2004,3,2,11362,SubUrban,280000
1995,3,2,8000,Urban,188000
1976,4,2,10480,SubUrban,205000
1957,2,1,7100,Urban,129900
1953,2,1,8923,SubUrban,134500
1954,2,1,5400,Urban,117000
2007,3,2,12085,SubUrban,318000
2002,3,2,7750,Urban,184100
1967,3,1,9764,SubUrban,130000
1958,3,1,13825,Urban,140000
1959,3,1,7560,SubUrban,133700
1920,2,1,8263,Urban,118400
2005,3,2,10084,SubUrban,212900
1956,3,1,8926,Urban,112000
1947,2,1,9405,SubUrban,118000
1992,3,2,9125,Urban,163900
1955,2,1,10434,SubUrban,115000
2007,2,2,3684,Urban,174000
2004,3,2,14572,SubUrban,259000
2004,4,2,11796,Urban,215000
1980,2,1,7200,SubUrban,140000
1928,4,2,7804,Urban,135000
1991,3,1,10712,SubUrban,93500
1880,5,2,9900,Urban,117500
1995,3,2,9828,SubUrban,239500
1997,3,2,8773,Urban,169000
1926,2,1,6180,SubUrban,102000
1950,3,1,9600,Urban,119000
1875,2,1,6342,SubUrban,94000
1977,2,2,9819,Urban,196000
1920,3,1,8731,SubUrban,144000
1951,2,1,7350,Urban,139000
1976,4,2,10304,SubUrban,197500
2006,4,3,9965,Urban,424870
1959,3,1,9000,SubUrban,80000
1941,2,1,12180,Urban,80000
1928,3,1,6240,SubUrban,149000
1985,3,2,11200,Urban,180000
1941,3,1,12000,SubUrban,174500
1926,2,1,5700,Urban,116900
1920,3,1,9000,SubUrban,143000
1950,2,1,8280,Urban,124000
1959,3,1,17755,SubUrban,149900
1956,2,1,14115,Urban,230000
1930,2,1,5890,SubUrban,120500
1965,4,1,13700,Urban,201800
1976,3,2,10768,SubUrban,218000
1965,3,2,9350,Urban,179900
2007,2,2,5001,SubUrban,230000
2007,3,2,11932,Urban,235128
1974,4,2,9120,SubUrban,185000
1978,3,2,2280,Urban,146000
1954,3,1,14778,SubUrban,224000
1968,3,1,8724,Urban,129000
1969,0,0,12900,SubUrban,108959
1978,2,1,16157,Urban,194000
2009,3,2,9541,SubUrban,233170
2008,3,2,10475,Urban,245350
2000,3,2,10852,SubUrban,173000
1935,4,2,13728,Urban,235000
1995,4,3,35760,SubUrban,625000
1977,3,1,9880,Urban,171000
1958,3,1,9120,SubUrban,163000
2006,2,2,4017,Urban,171900
1946,3,3,18030,SubUrban,200500
1932,4,2,16560,Urban,239000
1992,4,2,10678,SubUrban,285000
1984,3,1,6951,Urban,119500
1926,3,1,3950,SubUrban,115000
1921,3,1,7681,Urban,154900
1954,3,1,8335,SubUrban,93000
1990,4,2,11170,Urban,250000
2008,2,2,5587,SubUrban,392500
1996,4,3,15623,Urban,745000
1920,2,1,10800,SubUrban,120000
1963,3,1,35133,Urban,186700
1924,4,1,9738,SubUrban,104900
1900,3,2,10615,Urban,95000
1994,2,2,12461,SubUrban,262000
2002,3,2,8935,Urban,195000
1999,3,2,7500,SubUrban,189000
1961,3,1,32463,Urban,168000
1999,2,2,2645,SubUrban,174000
1925,3,1,9600,Urban,125000
1999,2,2,4500,SubUrban,165000
1969,4,1,9364,Urban,158000
2005,3,2,8029,SubUrban,176000
2006,4,2,14054,Urban,219210
1916,3,1,8850,SubUrban,144000
2001,3,2,9100,Urban,178000
1963,3,1,11235,SubUrban,148000
1970,3,1,9353,Urban,116050
1998,3,2,10400,SubUrban,197900
1925,3,1,6000,Urban,117000
2000,3,2,9750,SubUrban,213000
1975,3,1,10140,Urban,153500
1990,3,2,14684,Rural,271900
1966,2,1,8900,Rural,107000
2003,3,2,9135,Rural,200000
1962,3,1,7763,Rural,140000
2006,3,2,10182,Rural,290000
1992,3,2,11218,Rural,189000
1988,4,2,12134,Rural,164000
1941,2,1,9340,Urban,113000
1965,0,0,10246,SubUrban,145000
1962,3,1,10205,Urban,134500
1966,3,1,7094,SubUrban,125000
1978,4,2,8930,Urban,112000
2009,3,2,8640,SubUrban,229456
1947,2,1,6240,Urban,80500
1971,3,1,1680,SubUrban,91500
1964,2,1,7800,Urban,115000
1968,3,1,8250,SubUrban,134000
1949,3,2,10496,Urban,143000
1951,4,2,10680,SubUrban,137900
2004,3,2,15384,Urban,184000
1958,3,1,10482,SubUrban,145000
2007,4,2,14598,Urban,214000
1965,2,1,8872,SubUrban,147000
2008,1,1,8769,Urban,367294
1960,4,2,7910,SubUrban,127000
1977,4,2,18890,Urban,190000
1962,3,1,7728,SubUrban,132500
1962,2,2,9842,Urban,101800
1959,3,1,12160,SubUrban,142000
1911,4,1,8525,Urban,130000
1914,4,1,13132,SubUrban,138887
2003,2,2,2628,Urban,175500
2004,4,2,12393,SubUrban,195000
2005,3,1,13072,Urban,142500
2006,2,2,9037,SubUrban,265900
2003,3,2,8158,Urban,224900
2007,3,2,9849,SubUrban,248328
1974,3,2,10625,Urban,170000
2006,2,2,13891,SubUrban,465000
1929,3,1,11435,Urban,230000
1984,3,3,12090,SubUrban,178000
2005,3,2,8125,Urban,186500
1976,3,1,12328,SubUrban,169900
1917,3,1,9600,Urban,129500
1950,3,1,7200,SubUrban,119000
1968,3,2,11160,Urban,244000
2003,2,2,3136,SubUrban,171750
1968,3,1,9858,Urban,130000
1974,3,2,17542,SubUrban,294000
2003,3,2,6931,Urban,165400
1931,3,1,6240,SubUrban,127500
1994,2,2,14303,Urban,301500
1922,2,1,4060,SubUrban,99900
2005,2,2,9587,Urban,190000
1969,3,1,9750,SubUrban,151000
1999,3,2,24682,Urban,181000
1956,2,1,9600,SubUrban,128900
1957,5,1,11250,Urban,161500
1919,3,1,13515,SubUrban,180500
1998,2,2,4060,Urban,181000
1999,3,2,3735,SubUrban,183900
1910,4,1,10120,Urban,122000
2008,3,2,13214,SubUrban,378500
1935,4,3,14100,Urban,381000
1958,3,1,11344,SubUrban,144000
1979,0,0,23595,Urban,260000
1968,3,2,9156,SubUrban,185750
1965,3,1,13526,Urban,137000
1959,2,1,11512,SubUrban,177000
1910,3,2,5362,Urban,139000
1948,4,2,11345,SubUrban,137000
1972,3,1,12936,Urban,162000
1967,3,1,17871,SubUrban,197900
2002,3,2,9473,Urban,237000
1920,2,1,7500,SubUrban,68400
2002,3,2,9808,Urban,227000
1990,2,2,8049,SubUrban,180000
1977,3,2,8800,Urban,150500
1971,4,2,9400,SubUrban,139000
1919,4,2,9638,Urban,169000
1939,4,1,6000,SubUrban,132500
1963,3,1,9790,Urban,143000
1964,4,2,36500,SubUrban,190000
2000,2,2,5664,Urban,278000
2006,3,2,11065,SubUrban,281000
1964,3,1,14112,Urban,180500
1972,3,2,1680,SubUrban,119500
1892,4,2,6600,Urban,107500
1976,4,2,10140,SubUrban,162900
1955,2,1,8172,Urban,115000
1968,3,1,8400,SubUrban,138500
1963,3,2,8700,Urban,155000
2005,2,2,3675,SubUrban,140000
2008,3,2,63887,Rural,160000
1959,3,1,7500,Rural,154000
1999,3,2,10762,Rural,225000
1942,3,1,7500,Rural,177500
1994,4,2,10120,Rural,290000
2005,3,2,8688,Rural,232000
2004,3,2,3363,Rural,130000
2006,2,2,13173,SubUrban,325000
2005,2,2,6955,Urban,202500
1994,3,1,8072,SubUrban,138000
1948,2,1,12000,Urban,147000
1991,3,2,7153,SubUrban,179200
1959,3,2,17500,Urban,335000
2005,3,2,8814,SubUrban,203000
1990,4,2,9572,Urban,302000
1999,4,2,14774,SubUrban,333168
1954,3,1,8190,Urban,119000
1969,4,2,11075,SubUrban,206900
2008,3,2,10226,Urban,295493
2006,2,2,4230,SubUrban,208900
2001,3,2,14781,Urban,275000
1954,3,1,10215,SubUrban,111000
1957,3,1,8400,Urban,156500
1949,2,1,6627,SubUrban,72500
1992,3,2,10186,Urban,190000
1940,2,1,5330,SubUrban,82500
2006,2,2,9986,Urban,147000
1922,2,1,3636,SubUrban,55000
1931,3,1,4270,Urban,79000
1982,3,1,6600,SubUrban,130500
1920,5,2,10440,Urban,256000
1998,3,2,9084,SubUrban,176500
2006,3,2,10000,Urban,227000
1976,3,1,10780,SubUrban,132500
1938,2,1,8877,Urban,100000
1938,2,1,7200,SubUrban,125500
1970,3,1,2368,Urban,125000
1977,2,2,9650,SubUrban,167900
1973,4,2,9246,Urban,135000
1941,2,1,4118,SubUrban,52500
2002,3,2,13450,Urban,200000
1972,3,1,9560,SubUrban,128500
1971,3,1,8294,Urban,123000
2003,3,1,13695,SubUrban,155000
2002,3,2,9375,Urban,228500
1928,3,1,7558,SubUrban,177000
2006,3,2,11103,Urban,155835
1920,2,1,6000,SubUrban,108500
1968,3,2,20781,Urban,262500
2006,3,2,15306,SubUrban,283463
1998,3,2,16196,Urban,215000
1872,4,2,5250,SubUrban,122000
1969,6,2,11643,Urban,200000
1962,4,1,9247,SubUrban,171000
1937,2,1,6000,Urban,134900
1995,4,2,14720,SubUrban,410000
2000,3,2,10316,SubUrban,235000
1968,4,3,10192,Urban,170000
1966,3,1,9477,SubUrban,110000
1971,3,1,12537,Urban,149900
2000,3,2,2117,SubUrban,177500
2004,3,2,16737,SubUrban,315000
1921,4,3,9842,Urban,189000
2005,3,2,16158,SubUrban,260000
1920,4,2,12513,Urban,104900
2006,3,2,8499,SubUrban,156932
2005,2,2,3180,SubUrban,144152
2000,3,2,7500,Urban,216000
1999,3,2,9179,SubUrban,193000
1977,4,2,2665,Urban,127000
2003,1,1,4435,SubUrban,144000
2003,3,2,10635,SubUrban,232000
1920,2,1,5400,Urban,105000
1955,3,1,9600,SubUrban,165500
1998,3,2,9750,Urban,274300
2001,2,2,11400,SubUrban,466500
2005,3,2,10625,SubUrban,250000
2007,3,2,10991,Urban,239000
1930,2,1,6292,SubUrban,91000
1941,3,2,10998,Urban,117000
1973,2,1,1953,SubUrban,83000
2006,3,2,9735,SubUrban,167500
1914,2,1,8212,Urban,58500
1970,4,2,12925,SubUrban,237500
1920,4,1,7200,Urban,157000
1918,3,2,25339,SubUrban,112000
1939,2,1,9060,SubUrban,105000
1922,3,1,5436,Urban,125500
1978,5,3,16692,SubUrban,250000
1916,5,2,8520,Urban,136000
2006,3,2,14892,SubUrban,377500
1941,3,1,6000,SubUrban,131000
2000,3,2,9100,Urban,235000
1967,4,2,8944,SubUrban,124000
1967,3,1,7838,Urban,123000
1905,3,2,10800,SubUrban,163000
2006,2,2,4045,SubUrban,246578
2005,4,2,12665,Urban,281213
1948,3,1,57200,SubUrban,160000
1920,4,1,6120,Urban,137500
1950,3,1,7200,SubUrban,138000
1925,3,2,6171,SubUrban,137450
1929,3,1,6000,Urban,120000
2004,3,2,7415,SubUrban,193000
2006,2,2,6762,Urban,193879
2007,3,2,15256,SubUrban,282922
1915,3,1,10410,SubUrban,105000
2004,2,2,3842,Urban,275000
1972,2,1,8445,SubUrban,133000
1985,3,1,8780,Urban,112000
1910,3,1,7740,SubUrban,125500
1986,3,2,20544,SubUrban,215000
2001,3,2,12420,Urban,230000
1950,3,1,9600,SubUrban,140000
1949,2,2,7200,Urban,90000
2005,2,2,10994,SubUrban,257000
1923,4,1,13053,SubUrban,207000
2007,1,2,3635,Urban,175900
1885,4,2,11340,SubUrban,122500
1998,3,2,16545,Urban,340000
1963,3,1,9204,SubUrban,124000
1969,3,2,16381,SubUrban,223000
1968,3,2,11700,Urban,179900
1977,2,2,4043,SubUrban,127500
2003,1,1,4435,Urban,136500
1966,4,2,19690,SubUrban,274970
1958,2,1,9503,SubUrban,144000
1959,3,1,10721,Urban,142000
1994,3,2,10944,SubUrban,271000
1945,3,1,10930,Urban,140000
1940,2,1,7200,SubUrban,119000
1981,3,2,12546,SubUrban,182900
2005,4,2,21930,Urban,192140
1976,2,2,4928,SubUrban,143750
1927,4,2,10800,Urban,64500
2000,3,2,10261,SubUrban,186500
1977,3,2,17400,SubUrban,160000
1962,3,1,8400,Urban,174000
1971,3,1,9000,SubUrban,120500
2008,2,2,12444,Urban,394617
1957,2,1,7407,SubUrban,149700
1979,3,2,11584,SubUrban,197000
1922,3,2,11526,Urban,191000
2004,1,1,4426,SubUrban,149300
2008,3,2,11003,Urban,310000
1916,2,1,8854,SubUrban,121000
2004,3,2,8500,SubUrban,179600
1966,3,1,8400,Urban,129000
1962,3,1,26142,SubUrban,157900
1995,3,2,10000,Urban,240000
1910,2,1,11767,SubUrban,112000
1970,1,1,1533,SubUrban,92000
1974,4,2,9000,Urban,136000
2008,3,2,9262,SubUrban,287090
2005,2,1,3675,Urban,145000
2006,3,1,17217,SubUrban,84500
2004,2,2,7500,SubUrban,185000
1999,3,2,7917,Urban,175000
1978,3,2,13175,SubUrban,210000
1941,4,2,9042,Urban,266500
1950,2,1,9717,SubUrban,142125
1965,3,1,9937,SubUrban,147500
